record_id,experiment,repeat,batch_size,qname,date,truth,served_model,choice,p_choice,p_max,deficit,mismatch,is_tie,n_argmax_options,top2_gap,gap_bucket,confidence,p_unknown,prob_sum,choice_correct,p_Monday,p_Tuesday,p_Wednesday,p_Thursday,p_Friday,p_Saturday,p_Sunday,p_Unknown
batch:003,batch,0,4,q0,2047-04-23,Tuesday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,4,0.0,0 (exact tie),0.02,0.08,1.0,0,0.12,0.14,0.14,0.12,0.14,0.14,0.12,0.08
batch:003,batch,0,4,q1,2049-03-23,Tuesday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.09,1.0,0,0.12,0.14,0.14,0.12,0.13,0.14,0.12,0.09
batch:003,batch,0,4,q2,2051-04-12,Wednesday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.01,0.09,1.0,0,0.13,0.14,0.13,0.12,0.14,0.13,0.12,0.09
batch:003,batch,0,4,q3,2051-04-22,Saturday,jev-1.13.0,Tuesday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.02,>0.01,0.01,0.09,1.0,0,0.13,0.15000000000000002,0.13,0.12,0.13,0.13,0.12,0.09
batch:004,batch,0,4,q0,2052-05-31,Friday,jev-1.13.0,Saturday,0.13999999999999999,0.14,0.0,0,1,3,0.0,0 (exact tie),0.03,0.07,1.0,0,0.13,0.14,0.13,0.13,0.14,0.13999999999999999,0.12,0.07
batch:004,batch,0,4,q1,2054-01-27,Tuesday,jev-1.13.0,Tuesday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.01,<=0.01,0.02,0.07,1.0,1,0.14,0.15000000000000002,0.13,0.12,0.13,0.14,0.12,0.07
batch:004,batch,0,4,q2,2054-12-20,Sunday,jev-1.13.0,Friday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.02,0.1,1.0,0,0.13,0.12,0.13,0.12,0.14,0.13,0.13,0.1
batch:004,batch,0,4,q3,2056-02-11,Friday,jev-1.13.0,Tuesday,0.13999999999999999,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.08,1.0,0,0.13,0.13999999999999999,0.13,0.13,0.13,0.14,0.12,0.08
batch:005,batch,0,4,q0,2057-05-30,Wednesday,jev-1.13.0,Saturday,0.16,0.16,0.0,0,0,1,0.02,>0.01,0.03,0.07,1.0,0,0.13,0.13,0.13,0.12,0.14,0.16,0.12,0.07
batch:005,batch,0,4,q1,2058-02-26,Tuesday,jev-1.13.0,Friday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.01,0.1,1.0,0,0.13,0.13,0.13,0.12,0.14,0.13,0.12,0.1
batch:005,batch,0,4,q2,2058-12-30,Monday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.08,1.0,0,0.13,0.13,0.13,0.12,0.14,0.14,0.13,0.08
batch:005,batch,0,4,q3,2059-12-11,Thursday,jev-1.13.0,Friday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.09,1.0,0,0.13,0.13,0.13,0.12,0.14,0.14,0.12,0.09
batch:006,batch,0,4,q0,2060-01-23,Friday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.09,1.0,0,0.13,0.13,0.14,0.12,0.13,0.14,0.12,0.09
batch:006,batch,0,4,q1,2060-10-10,Sunday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,4,0.0,0 (exact tie),0.02,0.07,1.0,0,0.13,0.14,0.14,0.12,0.14,0.14,0.12,0.07
batch:006,batch,0,4,q2,2062-01-03,Tuesday,jev-1.13.0,Tuesday,0.16,0.16,0.0,0,0,1,0.01,<=0.01,0.02,0.06,1.0,1,0.14,0.16,0.13,0.12,0.12,0.15000000000000002,0.12,0.06
batch:006,batch,0,4,q3,2062-05-04,Thursday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.07,1.0,0,0.13,0.14,0.13,0.13,0.14,0.14,0.12,0.07
batch:007,batch,0,4,q0,2063-04-21,Saturday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.09,1.0,0,0.12,0.14,0.13,0.12,0.14,0.14,0.12,0.09
batch:007,batch,0,4,q1,2064-03-18,Tuesday,jev-1.13.0,Tuesday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.02,>0.01,0.02,0.1,1.0,1,0.12,0.15000000000000002,0.13,0.12,0.13,0.13,0.12,0.1
batch:007,batch,0,4,q2,2066-11-30,Tuesday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.01,0.11,1.0,0,0.13,0.13,0.12,0.12,0.13,0.14,0.12,0.11
batch:007,batch,0,4,q3,2068-12-12,Wednesday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.09,1.0,0,0.13,0.14,0.13,0.12,0.13,0.14,0.12,0.09
batch:008,batch,0,4,q0,2072-11-22,Tuesday,jev-1.13.0,Saturday,0.13,0.14,0.01,1,0,1,0.01,<=0.01,0.02,0.08,1.0,0,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.08
batch:008,batch,0,4,q1,2074-11-09,Friday,jev-1.13.0,Friday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.01,0.09,1.0,1,0.14,0.13,0.13,0.12,0.14,0.13,0.12,0.09
batch:008,batch,0,4,q2,2077-02-04,Thursday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.08,1.0,0,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.08
batch:008,batch,0,4,q3,2078-01-30,Sunday,jev-1.13.0,Tuesday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.01,<=0.01,0.02,0.08,1.0,0,0.13,0.15000000000000002,0.13,0.12,0.13,0.14,0.12,0.08
batch:009,batch,0,4,q0,2079-06-29,Thursday,jev-1.13.0,Saturday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.01,<=0.01,0.02,0.1,1.0,0,0.12,0.13,0.13,0.11,0.14,0.15000000000000002,0.12,0.1
batch:009,batch,0,4,q1,2085-10-01,Monday,jev-1.13.0,Friday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.02,>0.01,0.01,0.12,1.0,0,0.13,0.13,0.12,0.11,0.15000000000000002,0.12,0.12,0.12
batch:009,batch,0,4,q2,2087-06-25,Wednesday,jev-1.13.0,Tuesday,0.13,0.14,0.01,1,1,2,0.0,0 (exact tie),0.02,0.09,1.0,0,0.13,0.13,0.13,0.12,0.14,0.14,0.12,0.09
batch:009,batch,0,4,q3,2087-08-06,Wednesday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.09,1.0,0,0.13,0.13,0.13,0.12,0.14,0.14,0.12,0.09
batch:010,batch,0,4,q0,2087-08-07,Thursday,jev-1.13.0,Saturday,0.13,0.14,0.01,1,0,1,0.01,<=0.01,0.02,0.1,1.0,0,0.13,0.13,0.12,0.12,0.14,0.13,0.13,0.1
batch:010,batch,0,4,q1,2089-02-19,Saturday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.02,0.09,1.0,0,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.09
batch:010,batch,0,4,q2,2091-05-15,Tuesday,jev-1.13.0,Friday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.02,0.11,1.0,0,0.12,0.13,0.13,0.12,0.14,0.13,0.12,0.11
batch:010,batch,0,4,q3,2091-10-04,Thursday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.09,1.0,0,0.13,0.14,0.13,0.12,0.13,0.14,0.12,0.09
batch:011,batch,0,4,q0,2093-07-24,Friday,jev-1.13.0,Friday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.08,1.0,1,0.13,0.14,0.13,0.12,0.14,0.14,0.12,0.08
batch:011,batch,0,4,q1,2093-09-19,Saturday,jev-1.13.0,Friday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.01,0.12,1.0,0,0.12,0.13,0.13,0.11,0.14,0.13,0.12,0.12
batch:011,batch,0,4,q2,2094-06-14,Monday,jev-1.13.0,Tuesday,0.16,0.16,0.0,0,0,1,0.02,>0.01,0.02,0.06,1.0,0,0.13,0.16,0.14,0.13,0.13,0.14,0.11,0.06
batch:011,batch,0,4,q3,2095-05-14,Saturday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.08,1.0,0,0.13,0.14,0.13,0.12,0.13,0.14,0.13,0.08
batch:012,batch,0,2,q0,2098-03-21,Friday,jev-1.13.0,Tuesday,0.13,0.14,0.01,1,0,1,0.01,<=0.01,0.01,0.1,1.0,0,0.12,0.13,0.14,0.12,0.13,0.13,0.13,0.1
batch:012,batch,0,2,q1,2098-11-09,Sunday,jev-1.13.0,Tuesday,0.13,0.14,0.01,1,1,2,0.0,0 (exact tie),0.02,0.09,1.0,0,0.13,0.13,0.13,0.12,0.14,0.14,0.12,0.09
repeat:2028-04-04:0,determinism,0,1,q0,2028-04-04,Tuesday,jev-1.13.0,Saturday,0.15,0.15,0.0,0,0,1,0.01,<=0.01,0.03,0.06,1.0,0,0.13,0.14,0.14,0.12,0.13,0.15,0.13,0.06
repeat:2028-04-04:1,determinism,1,1,q0,2028-04-04,Tuesday,jev-1.13.0,Tuesday,0.16,0.16,0.0,0,0,1,0.01,<=0.01,0.04,0.05,1.0,1,0.13,0.16,0.13,0.13,0.13,0.15,0.12,0.05
repeat:2028-04-04:2,determinism,2,1,q0,2028-04-04,Tuesday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,4,0.0,0 (exact tie),0.02,0.07,1.0,0,0.14,0.14,0.14,0.12,0.13,0.14,0.12,0.07
repeat:2028-04-04:3,determinism,3,1,q0,2028-04-04,Tuesday,jev-1.13.0,Saturday,0.16,0.16,0.0,0,0,1,0.01,<=0.01,0.03,0.06,1.0,0,0.13,0.15000000000000002,0.13,0.12,0.13,0.16,0.12,0.06
repeat:2028-04-04:4,determinism,4,1,q0,2028-04-04,Tuesday,jev-1.13.0,Tuesday,0.15000000000000002,0.15000000000000002,0.0,0,1,2,0.0,0 (exact tie),0.02,0.06,1.0,1,0.13,0.15000000000000002,0.13,0.13,0.13,0.15000000000000002,0.12,0.06
repeat:2031-05-26:0,determinism,0,1,q0,2031-05-26,Monday,jev-1.13.0,Wednesday,0.13,0.14,0.01,1,1,3,0.0,0 (exact tie),0.02,0.08,1.0,0,0.13,0.14,0.13,0.13,0.14,0.14,0.11,0.08
repeat:2031-05-26:1,determinism,1,1,q0,2031-05-26,Monday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.09,1.0,0,0.12,0.14,0.13,0.12,0.14,0.14,0.12,0.09
repeat:2031-05-26:2,determinism,2,1,q0,2031-05-26,Monday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.08,1.0,0,0.13,0.14,0.13,0.12,0.14,0.14,0.12,0.08
repeat:2031-05-26:3,determinism,3,1,q0,2031-05-26,Monday,jev-1.13.0,Saturday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.01,<=0.01,0.02,0.09,1.0,0,0.12,0.13,0.13,0.12,0.14,0.15000000000000002,0.12,0.09
repeat:2031-05-26:4,determinism,4,1,q0,2031-05-26,Monday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.08,1.0,0,0.13,0.13,0.13,0.13,0.14,0.14,0.12,0.08
repeat:2035-10-16:0,determinism,0,1,q0,2035-10-16,Tuesday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.01,0.09,1.0,1,0.13,0.14,0.14,0.13,0.13,0.13,0.11,0.09
repeat:2035-10-16:1,determinism,1,1,q0,2035-10-16,Tuesday,jev-1.13.0,Tuesday,0.13,0.13,0.0,0,1,5,0.0,0 (exact tie),0.01,0.11,1.0,1,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11
repeat:2035-10-16:2,determinism,2,1,q0,2035-10-16,Tuesday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.02,0.1,1.0,1,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.1
repeat:2035-10-16:3,determinism,3,1,q0,2035-10-16,Tuesday,jev-1.13.0,Wednesday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.01,0.1,1.0,0,0.12,0.14,0.14,0.12,0.13,0.13,0.12,0.1
repeat:2035-10-16:4,determinism,4,1,q0,2035-10-16,Tuesday,jev-1.13.0,Saturday,0.13,0.13,0.0,0,1,5,0.0,0 (exact tie),0.01,0.11,1.0,0,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.11
repeat:2035-10-18:0,determinism,0,1,q0,2035-10-18,Thursday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.01,0.12,1.0,0,0.12,0.14,0.13,0.12,0.13,0.13,0.11,0.12
repeat:2035-10-18:1,determinism,1,1,q0,2035-10-18,Thursday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.01,0.11,1.0,0,0.12,0.14,0.13,0.12,0.13,0.13,0.12,0.11
repeat:2035-10-18:2,determinism,2,1,q0,2035-10-18,Thursday,jev-1.13.0,Friday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.01,0.1,1.0,0,0.13,0.14,0.13,0.12,0.14,0.13,0.11,0.1
repeat:2035-10-18:3,determinism,3,1,q0,2035-10-18,Thursday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.02,0.1,1.0,0,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.1
repeat:2035-10-18:4,determinism,4,1,q0,2035-10-18,Thursday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.1,1.0,0,0.12,0.14,0.13,0.12,0.14,0.14,0.11,0.1
repeat:2035-10-28:0,determinism,0,1,q0,2035-10-28,Sunday,jev-1.13.0,Saturday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.01,<=0.01,0.02,0.09,1.0,0,0.12,0.13,0.13,0.12,0.14,0.15000000000000002,0.12,0.09
repeat:2035-10-28:1,determinism,1,1,q0,2035-10-28,Sunday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.09,1.0,0,0.12,0.14,0.13,0.12,0.14,0.14,0.12,0.09
repeat:2035-10-28:2,determinism,2,1,q0,2035-10-28,Sunday,jev-1.13.0,Saturday,0.13999999999999999,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.08,1.0,0,0.13,0.14,0.13,0.12,0.14,0.13999999999999999,0.12,0.08
repeat:2035-10-28:3,determinism,3,1,q0,2035-10-28,Sunday,jev-1.13.0,Saturday,0.15,0.15,0.0,0,0,1,0.01,<=0.01,0.03,0.07,1.0,0,0.13,0.14,0.13,0.12,0.14,0.15,0.12,0.07
repeat:2035-10-28:4,determinism,4,1,q0,2035-10-28,Sunday,jev-1.13.0,Saturday,0.13,0.14,0.01,1,0,1,0.01,<=0.01,0.02,0.1,1.0,0,0.13,0.13,0.13,0.12,0.14,0.13,0.12,0.1
repeat:2039-07-05:0,determinism,0,1,q0,2039-07-05,Tuesday,jev-1.13.0,Friday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.02,0.1,1.0,0,0.13,0.13,0.13,0.12,0.14,0.13,0.12,0.1
repeat:2039-07-05:1,determinism,1,1,q0,2039-07-05,Tuesday,jev-1.13.0,Friday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.02,>0.01,0.01,0.09,1.0,0,0.13,0.13,0.13,0.12,0.15000000000000002,0.13,0.12,0.09
repeat:2039-07-05:2,determinism,2,1,q0,2039-07-05,Tuesday,jev-1.13.0,Friday,0.14,0.15000000000000002,0.01,1,0,1,0.01,<=0.01,0.02,0.08,1.0,0,0.13,0.15000000000000002,0.13,0.12,0.14,0.13,0.12,0.08
repeat:2039-07-05:3,determinism,3,1,q0,2039-07-05,Tuesday,jev-1.13.0,Friday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.02,>0.01,0.02,0.09,1.0,0,0.13,0.13,0.13,0.12,0.15000000000000002,0.13,0.12,0.09
repeat:2039-07-05:4,determinism,4,1,q0,2039-07-05,Tuesday,jev-1.13.0,Tuesday,0.13,0.14,0.01,1,0,1,0.01,<=0.01,0.01,0.1,1.0,1,0.13,0.13,0.13,0.12,0.14,0.13,0.12,0.1
repeat:2039-11-10:0,determinism,0,1,q0,2039-11-10,Thursday,jev-1.13.0,Saturday,0.13,0.14,0.01,1,0,1,0.01,<=0.01,0.02,0.09,1.0,0,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.09
repeat:2039-11-10:1,determinism,1,1,q0,2039-11-10,Thursday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.01,0.09,1.0,0,0.13,0.14,0.13,0.12,0.14,0.13,0.12,0.09
repeat:2039-11-10:2,determinism,2,1,q0,2039-11-10,Thursday,jev-1.13.0,Friday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.01,0.1,1.0,0,0.13,0.13,0.13,0.12,0.14,0.13,0.12,0.1
repeat:2039-11-10:3,determinism,3,1,q0,2039-11-10,Thursday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.01,0.11,1.0,0,0.13,0.14,0.13,0.12,0.13,0.13,0.11,0.11
repeat:2039-11-10:4,determinism,4,1,q0,2039-11-10,Thursday,jev-1.13.0,Friday,0.13,0.13,0.0,0,1,4,0.0,0 (exact tie),0.01,0.13,1.0,0,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.13
repeat:2042-11-08:0,determinism,0,1,q0,2042-11-08,Saturday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.08,1.0,0,0.13,0.14,0.13,0.12,0.14,0.14,0.12,0.08
repeat:2042-11-08:1,determinism,1,1,q0,2042-11-08,Saturday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.09,1.0,0,0.13,0.14,0.13,0.12,0.14,0.13,0.12,0.09
repeat:2042-11-08:2,determinism,2,1,q0,2042-11-08,Saturday,jev-1.13.0,Tuesday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.02,>0.01,0.02,0.08,1.0,0,0.13,0.15000000000000002,0.13,0.13,0.13,0.13,0.12,0.08
repeat:2042-11-08:3,determinism,3,1,q0,2042-11-08,Saturday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.01,0.08,1.0,0,0.14,0.14,0.13,0.12,0.14,0.13,0.12,0.08
repeat:2042-11-08:4,determinism,4,1,q0,2042-11-08,Saturday,jev-1.13.0,Wednesday,0.13,0.14,0.01,1,1,3,0.0,0 (exact tie),0.01,0.08,1.0,0,0.13,0.14,0.13,0.12,0.14,0.14,0.12,0.08
repeat:2043-06-10:0,determinism,0,1,q0,2043-06-10,Wednesday,jev-1.13.0,Friday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.09,1.0,0,0.13,0.14,0.13,0.12,0.14,0.14,0.11,0.09
repeat:2043-06-10:1,determinism,1,1,q0,2043-06-10,Wednesday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,4,0.0,0 (exact tie),0.02,0.08,1.0,0,0.13,0.14,0.14,0.12,0.14,0.14,0.11,0.08
repeat:2043-06-10:2,determinism,2,1,q0,2043-06-10,Wednesday,jev-1.13.0,Tuesday,0.14,0.15000000000000002,0.01,1,0,1,0.01,<=0.01,0.02,0.07,1.0,0,0.13,0.14,0.15000000000000002,0.12,0.13,0.14,0.12,0.07
repeat:2043-06-10:3,determinism,3,1,q0,2043-06-10,Wednesday,jev-1.13.0,Tuesday,0.15000000000000002,0.15000000000000002,0.0,0,1,2,0.0,0 (exact tie),0.02,0.08,1.0,0,0.13,0.15000000000000002,0.15000000000000002,0.12,0.13,0.13,0.11,0.08
repeat:2043-06-10:4,determinism,4,1,q0,2043-06-10,Wednesday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.08,1.0,0,0.13,0.14,0.14,0.12,0.13,0.14,0.12,0.08
repeat:2044-03-05:0,determinism,0,1,q0,2044-03-05,Saturday,jev-1.13.0,Tuesday,0.16,0.16,0.0,0,0,1,0.02,>0.01,0.03,0.06,1.0,0,0.14,0.16,0.14,0.12,0.13,0.14,0.11,0.06
repeat:2044-03-05:1,determinism,1,1,q0,2044-03-05,Saturday,jev-1.13.0,Tuesday,0.15,0.15,0.0,0,0,1,0.01,<=0.01,0.03,0.07,1.0,0,0.13,0.15,0.14,0.12,0.13,0.14,0.12,0.07
repeat:2044-03-05:2,determinism,2,1,q0,2044-03-05,Saturday,jev-1.13.0,Tuesday,0.15,0.15,0.0,0,0,1,0.01,<=0.01,0.03,0.07,1.0,0,0.13,0.15,0.14,0.12,0.13,0.14,0.12,0.07
repeat:2044-03-05:3,determinism,3,1,q0,2044-03-05,Saturday,jev-1.13.0,Tuesday,0.15,0.15,0.0,0,0,1,0.01,<=0.01,0.03,0.08,1.0,0,0.13,0.15,0.14,0.11,0.13,0.14,0.12,0.08
repeat:2044-03-05:4,determinism,4,1,q0,2044-03-05,Saturday,jev-1.13.0,Tuesday,0.13999999999999999,0.14,0.0,0,1,4,0.0,0 (exact tie),0.03,0.07,1.0,0,0.14,0.13999999999999999,0.14,0.12,0.13,0.14,0.12,0.07
repeat:2044-08-25:0,determinism,0,1,q0,2044-08-25,Thursday,jev-1.13.0,Saturday,0.13999999999999999,0.14,0.0,0,1,3,0.0,0 (exact tie),0.03,0.08,1.0,0,0.14,0.14,0.13,0.12,0.13,0.13999999999999999,0.12,0.08
repeat:2044-08-25:1,determinism,1,1,q0,2044-08-25,Thursday,jev-1.13.0,Saturday,0.13999999999999999,0.14,0.0,0,1,4,0.0,0 (exact tie),0.03,0.07,1.0,0,0.14,0.14,0.13,0.12,0.14,0.13999999999999999,0.12,0.07
repeat:2044-08-25:2,determinism,2,1,q0,2044-08-25,Thursday,jev-1.13.0,Saturday,0.14,0.15000000000000002,0.01,1,0,1,0.01,<=0.01,0.02,0.07,1.0,0,0.13,0.15000000000000002,0.13,0.12,0.14,0.14,0.12,0.07
repeat:2044-08-25:3,determinism,3,1,q0,2044-08-25,Thursday,jev-1.13.0,Saturday,0.15,0.15,0.0,0,0,1,0.01,<=0.01,0.03,0.07,1.0,0,0.13,0.14,0.14,0.12,0.14,0.15,0.11,0.07
repeat:2044-08-25:4,determinism,4,1,q0,2044-08-25,Thursday,jev-1.13.0,Saturday,0.13999999999999999,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.07,1.0,0,0.13,0.14,0.13,0.13,0.14,0.13999999999999999,0.12,0.07
repeat:2046-07-30:0,determinism,0,1,q0,2046-07-30,Monday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,4,0.0,0 (exact tie),0.02,0.06,1.0,0,0.14,0.14,0.14,0.13,0.13,0.14,0.12,0.06
repeat:2046-07-30:1,determinism,1,1,q0,2046-07-30,Monday,jev-1.13.0,Saturday,0.15,0.15,0.0,0,0,1,0.01,<=0.01,0.03,0.06,1.0,0,0.14,0.14,0.13,0.13,0.13,0.15,0.12,0.06
repeat:2046-07-30:2,determinism,2,1,q0,2046-07-30,Monday,jev-1.13.0,Saturday,0.15,0.15,0.0,0,0,1,0.01,<=0.01,0.02,0.07,1.0,0,0.13,0.14,0.14,0.12,0.14,0.15,0.11,0.07
repeat:2046-07-30:3,determinism,3,1,q0,2046-07-30,Monday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.08,1.0,0,0.14,0.13,0.13,0.12,0.14,0.14,0.12,0.08
